Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
275,22.95,22.962,-1.3631505067916198e+17,0.11615976359507121,0.0724812055343391,over range,,
276,23.08,22.976,1.1813941404970893e+18,0.1185058665242456,0.07418803195693545,over range,,
277,23.017,23.194,-2.010563479434869e+18,0.1215825721498844,0.07590970034842394,over range,,
278,22.937,23.142,-2.32864037520295e+18,0.1257865915437735,0.07745326511320673,over range,,
279,23.009,23.287,-3.1577816906672614e+18,0.13001774761128274,0.0789745669246513,over range,,
280,22.992,22.907,9.65574467907185e+17,0.132018306126997,0.08052555267388016,over range,,
281,23.1,23.179,-8.973725473332068e+17,0.13485619861504486,0.08195780267197188,over range,,
282,23.025,23.297,-3.0896226119393203e+18,0.13603803567484668,0.08327873790337254,over range,,
283,22.976,23.05,-8.405962226344101e+17,0.13926579710785114,0.08471098790146425,over range,,
284,22.872,23.126,-2.885250480676875e+18,0.14046074302752679,0.08575734670836027,over range,,
285,22.825,22.95,-1.4199515000812634e+18,0.14262198594051265,0.08702633504863844,over range,,
286,22.823,23.062,-2.714892776226413e+18,0.14389803550726377,0.08810979877776481,over range,,
287,22.983,23.382,-4.532135008615296e+18,0.14667100321285534,0.08927489333579797,over range,,
